链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/BJHD88032373.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2014-12	2014.12	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88399370.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2014-12	2014.12	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88177915.html	西山公馆	2室2厅	110	东 西	精装	有电梯	2014-12	2014.12	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
EmptyLink	西山公馆	--室--厅	151	暂无数据	其他	有电梯	2014-11	2014.11	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88347621.html	西山公馆	2室1厅	69	西	精装	有电梯	2014-10	2014.10.19	300	高楼层	共6层	2010年建板楼	链家网签约	43522	EmptyInfo
EmptyLink	西山公馆	--室--厅	69	暂无数据	其他	有电梯	2014-10	2014.10	暂无	高楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86672249.html	西山公馆	1室0厅	42	东	精装	有电梯	2014-05	2014.05	暂无	高楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD87630903.html	西山公馆	2室2厅	119	东 西	精装	有电梯	2014-05	2014.05	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86812675.html	西山公馆	3室2厅	151	南 北	其他	有电梯	2014-04	2014.04	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
EmptyLink	西山公馆	--室--厅	151	暂无数据	其他	有电梯	2014-04	2014.04	暂无	中楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86934565.html	西山公馆	1室0厅	42	东	其他	有电梯	2014-03	2014.03.25	192	低楼层	共6层	2010年建板楼	链家网签约	46054	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86966017.html	西山公馆	1室0厅	150	南 北	其他	有电梯	2014-03	2014.03.20	700	低楼层	共7层	2010年建板楼	链家网签约	46713	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD87115358.html	西山公馆	1室1厅	69	西	其他	有电梯	2014-03	2014.03.09	320	中楼层	共6层	2010年建板楼	链家网签约	46674	EmptyInfo
EmptyLink	西山公馆	--室--厅	151	暂无数据	其他	有电梯	2014-03	2014.03	暂无	未知楼层	共7层	2010年建板楼	自行成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86263789.html	西山公馆	2室1厅	120	东 西	其他	有电梯	2013-12	2013.12.08	510	高楼层	共7层	2010年建板楼	链家网签约	42429	房本满两年
http://bj.lianjia.com/chengjiao/BJHD86843511.html	西山公馆	3室2厅	151	南 北	其他	有电梯	2013-12	2013.12.06	80	中楼层	共6层	2010年建板楼	链家网签约	5299	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86369064.html	西山公馆	1室0厅	42	东	其他	有电梯	2013-10	2013.10.20	197	中楼层	共6层	2010年建板楼	链家网签约	47254	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD86050218.html	西山公馆	1室1厅	73	东 南	其他	有电梯	2013-09	2013.09.04	325	中楼层	共6层	2010年建板楼	链家网签约	44576	EmptyInfo
EmptyLink	西山公馆	--室--厅	70	暂无数据	其他	有电梯	2013-08	2013.08	暂无	中楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD85682415.html	西山公馆	3室2厅	152	南 北	其他	有电梯	2013-07	2013.07	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD85414078.html	西山公馆	1室1厅	70	东	其他	有电梯	2013-01	2013.01.26	256	低楼层	共6层	2010年建板楼	链家网签约	36587	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD84537316.html	西山公馆	3室2厅	150	南 北	其他	有电梯	2012-05	2012.05.12	474.648	高楼层	共7层	2010年建板楼	链家网签约	31643	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD84503305.html	西山公馆	2室2厅	119	东 西	其他	有电梯	2012-04	2012.04.29	325	低楼层	共7层	2010年建板楼	链家网签约	27311	EmptyInfo
